compliance_id,client_id,compliance_type,due_date,completion_date,status,risk_score,regulatory_body,penalty_amount,remediation_required
COMP200032,CL103836,disclosure,20/04/2021,21/04/2021,Compliant,3.65,Income_Tax,0.0,No
COMP200033,CL118478,KYC,25/01/2022,27/01/2022,Compliant,2.97,FIU,0.0,No
COMP200034,CL116462,KYC,04/11/2023,04/11/2023,Compliant,3.83,RBI,0.0,No
COMP200035,CL105469,disclosure,01/11/2021,06/11/2021,Compliant,3.23,SEBI,0.0,No
COMP200036,CL115055,disclosure,02/02/2024,07/02/2024,Compliant,1.8,FIU,0.0,No
COMP200037,CL100779,AML,06/04/2024,05/04/2024,Compliant,2.09,FIU,0.0,No
COMP200038,CL117768,disclosure,29/04/2025,25/04/2025,Compliant,2.58,Income_Tax,0.0,No
COMP200039,CL117067,disclosure,25/02/2023,26/02/2023,Compliant,2.64,FIU,0.0,No
COMP200040,CL106713,KYC,29/10/2021,28/10/2021,Compliant,1.78,SEBI,0.0,No
COMP200041,CL113273,tax_reporting,07/12/2022,22/12/2022,Non_compliant,6.7,FIU,18355.16,Yes
COMP200042,CL113963,tax_reporting,07/11/2023,02/11/2023,Compliant,1.42,SEBI,0.0,No
COMP200043,CL112840,tax_reporting,11/11/2022,09/11/2022,Compliant,2.17,FIU,0.0,No
COMP200044,CL115237,tax_reporting,03/01/2025,,Pending,5.42,Income_Tax,0.0,Yes
COMP200045,CL114432,tax_reporting,09/12/2021,11/12/2021,Compliant,3.91,SEBI,0.0,No
COMP200046,CL100020,KYC,18/07/2024,30/08/2024,Non_compliant,6.58,Income_Tax,25955.61,Yes
COMP200047,CL114348,tax_reporting,02/01/2024,29/12/2023,Compliant,2.58,FIU,0.0,No
COMP200048,CL105562,disclosure,09/06/2023,07/06/2023,Compliant,1.92,FIU,0.0,No
COMP200049,CL116493,tax_reporting,13/01/2023,17/01/2023,Compliant,1.48,FIU,0.0,No
COMP200050,CL112429,disclosure,24/03/2023,25/03/2023,Compliant,2.79,RBI,0.0,No
COMP200051,CL101402,AML,14/01/2024,16/01/2024,Compliant,1.31,RBI,0.0,No
COMP200052,CL113468,KYC,05/05/2021,09/05/2021,Compliant,2.7,RBI,0.0,No
COMP200053,CL113038,KYC,12/02/2025,15/02/2025,Compliant,2.16,RBI,0.0,No
COMP200054,CL112750,KYC,28/08/2023,30/08/2023,Compliant,1.25,Income_Tax,0.0,No
COMP200055,CL112229,KYC,13/05/2024,14/05/2024,Compliant,2.69,Income_Tax,0.0,No
COMP200056,CL113498,KYC,20/03/2023,,Pending,5.94,RBI,0.0,Yes
COMP200057,CL116337,disclosure,02/06/2025,29/05/2025,Compliant,2.99,Income_Tax,0.0,No
COMP200058,CL112959,tax_reporting,18/11/2022,16/11/2022,Compliant,1.57,Income_Tax,0.0,No
COMP200059,CL110367,disclosure,20/12/2021,22/12/2021,Compliant,3.86,SEBI,0.0,No
COMP200060,CL110913,KYC,06/10/2022,02/10/2022,Compliant,1.18,FIU,0.0,No
COMP200061,CL111703,KYC,26/03/2024,22/03/2024,Compliant,3.64,Income_Tax,0.0,No
COMP200062,CL119711,AML,17/02/2025,16/02/2025,Compliant,3.35,RBI,0.0,No
COMP200063,CL116386,KYC,26/02/2023,23/02/2023,Compliant,1.76,SEBI,0.0,No
COMP200064,CL115999,AML,09/04/2022,04/04/2022,Compliant,3.78,Income_Tax,0.0,No
COMP200065,CL119303,disclosure,11/10/2024,14/10/2024,Compliant,2.33,RBI,0.0,No
COMP200066,CL112258,KYC,17/02/2021,21/02/2021,Compliant,2.13,FIU,0.0,No
COMP200067,CL103469,AML,14/06/2022,17/06/2022,Compliant,3.68,RBI,0.0,No
COMP200068,CL105509,AML,15/09/2021,19/09/2021,Compliant,3.26,SEBI,0.0,No
COMP200069,CL112903,tax_reporting,20/08/2021,,Pending,6.32,SEBI,0.0,Yes
COMP200070,CL109662,AML,06/04/2023,11/04/2023,Compliant,3.64,FIU,0.0,No
COMP200071,CL110294,KYC,08/05/2025,11/05/2025,Compliant,2.44,SEBI,0.0,No
COMP200072,CL104439,tax_reporting,20/01/2025,20/03/2025,Non_compliant,7.21,SEBI,22424.93,Yes
COMP200073,CL114056,tax_reporting,15/09/2024,16/09/2024,Compliant,2.58,Income_Tax,0.0,No
COMP200074,CL113536,disclosure,10/02/2024,10/02/2024,Compliant,2.82,SEBI,0.0,No
COMP200075,CL101607,disclosure,14/04/2021,18/04/2021,Compliant,2.58,SEBI,0.0,No
COMP200076,CL104064,KYC,04/04/2023,30/03/2023,Compliant,3.93,FIU,0.0,No
COMP200077,CL110934,AML,26/05/2025,29/05/2025,Compliant,2.81,Income_Tax,0.0,No
COMP200078,CL115564,KYC,05/01/2025,31/12/2024,Compliant,3.51,RBI,0.0,No
COMP200079,CL117692,disclosure,06/09/2023,,Pending,4.26,FIU,0.0,Yes
COMP200080,CL105368,tax_reporting,11/03/2021,15/03/2021,Compliant,2.46,SEBI,0.0,No
COMP200081,CL109787,KYC,26/01/2023,24/01/2023,Compliant,3.7,SEBI,0.0,No
COMP200082,CL118202,AML,19/10/2022,,Pending,6.75,FIU,0.0,Yes
COMP200083,CL104378,AML,11/12/2023,10/12/2023,Compliant,1.65,Income_Tax,0.0,No
COMP200084,CL119747,tax_reporting,03/09/2024,04/09/2024,Compliant,2.2,Income_Tax,0.0,No
COMP200085,CL111387,disclosure,26/07/2022,30/07/2022,Compliant,2.64,FIU,0.0,No
COMP200086,CL116082,AML,03/07/2022,28/06/2022,Compliant,2.93,FIU,0.0,No
COMP200087,CL112881,AML,30/12/2024,26/12/2024,Compliant,2.42,Income_Tax,0.0,No
COMP200088,CL111309,tax_reporting,10/09/2022,24/09/2022,Non_compliant,8.25,Income_Tax,29669.54,Yes
COMP200089,CL102144,disclosure,02/02/2022,30/01/2022,Compliant,1.94,FIU,0.0,No
COMP200090,CL106708,AML,02/11/2021,31/10/2021,Compliant,3.27,Income_Tax,0.0,No
COMP200091,CL109722,KYC,01/03/2022,24/02/2022,Compliant,3.57,SEBI,0.0,No
COMP200092,CL108228,AML,05/12/2023,03/12/2023,Compliant,2.43,FIU,0.0,No
COMP200093,CL110892,disclosure,27/06/2025,01/07/2025,Compliant,3.59,SEBI,0.0,No
COMP200094,CL113589,tax_reporting,04/05/2024,20/05/2024,Non_compliant,8.64,FIU,27749.72,Yes
COMP200095,CL100673,tax_reporting,02/12/2021,05/12/2021,Compliant,3.4,SEBI,0.0,No
COMP200096,CL100110,KYC,10/04/2023,12/04/2023,Compliant,1.94,SEBI,0.0,No
COMP200097,CL106257,KYC,11/10/2024,,Pending,4.12,FIU,0.0,Yes
COMP200098,CL112957,tax_reporting,02/01/2021,31/01/2021,Non_compliant,9.23,SEBI,39904.71,Yes
COMP200099,CL119707,tax_reporting,16/01/2022,18/01/2022,Compliant,1.84,SEBI,0.0,No
COMP200100,CL115185,disclosure,10/07/2024,09/07/2024,Compliant,2.37,FIU,0.0,No
COMP200101,CL113776,tax_reporting,28/07/2021,29/07/2021,Compliant,2.19,SEBI,0.0,No
COMP200102,CL105780,tax_reporting,22/02/2024,27/02/2024,Compliant,3.86,SEBI,0.0,No
COMP200103,CL118900,AML,06/03/2021,02/03/2021,Compliant,2.05,RBI,0.0,No
COMP200104,CL100249,disclosure,01/04/2023,02/04/2023,Compliant,1.18,Income_Tax,0.0,No
COMP200105,CL118950,AML,10/05/2021,11/05/2021,Compliant,1.01,RBI,0.0,No
COMP200106,CL117658,disclosure,13/03/2022,18/03/2022,Compliant,2.83,FIU,0.0,No
COMP200107,CL104835,KYC,17/07/2022,21/07/2022,Compliant,2.04,SEBI,0.0,No
COMP200108,CL104203,KYC,09/05/2025,12/05/2025,Compliant,2.44,SEBI,0.0,No
COMP200109,CL104170,tax_reporting,06/03/2025,08/03/2025,Compliant,3.95,Income_Tax,0.0,No
COMP200110,CL119036,KYC,17/09/2022,21/09/2022,Compliant,1.58,RBI,0.0,No
COMP200111,CL117759,AML,17/03/2025,05/04/2025,Non_compliant,7.3,RBI,48849.61,Yes
COMP200112,CL109343,disclosure,30/06/2025,04/07/2025,Compliant,3.13,Income_Tax,0.0,No
COMP200113,CL110132,disclosure,10/11/2024,05/11/2024,Compliant,3.26,Income_Tax,0.0,No
COMP200114,CL114022,disclosure,01/02/2021,01/02/2021,Compliant,1.24,Income_Tax,0.0,No
COMP200115,CL112286,tax_reporting,18/08/2021,19/08/2021,Compliant,1.05,FIU,0.0,No
COMP200116,CL101165,tax_reporting,29/06/2022,25/06/2022,Compliant,1.51,RBI,0.0,No
COMP200117,CL103527,KYC,13/04/2022,,Pending,4.12,FIU,0.0,Yes
COMP200118,CL111147,AML,18/11/2023,15/11/2023,Compliant,3.09,SEBI,0.0,No
COMP200119,CL101303,disclosure,26/05/2021,23/05/2021,Compliant,2.69,Income_Tax,0.0,No
COMP200120,CL108705,tax_reporting,30/12/2022,26/12/2022,Compliant,2.93,FIU,0.0,No
COMP200121,CL106733,AML,10/07/2021,,Pending,4.45,RBI,0.0,Yes
COMP200122,CL108050,disclosure,22/03/2024,,Pending,5.54,FIU,0.0,Yes
COMP200123,CL117299,tax_reporting,18/01/2022,08/02/2022,Non_compliant,9.61,SEBI,7824.42,Yes
COMP200124,CL118501,AML,11/03/2021,16/03/2021,Compliant,3.4,FIU,0.0,No
COMP200125,CL117754,AML,03/10/2021,,Pending,4.77,RBI,0.0,Yes
COMP200126,CL111976,disclosure,30/07/2023,27/07/2023,Compliant,3.47,RBI,0.0,No
COMP200127,CL106334,disclosure,17/06/2021,20/06/2021,Compliant,2.91,SEBI,0.0,No
COMP200128,CL117678,KYC,14/08/2023,19/08/2023,Compliant,2.48,FIU,0.0,No
COMP200129,CL116886,AML,13/01/2023,09/01/2023,Compliant,2.48,FIU,0.0,No
COMP200130,CL108374,tax_reporting,15/04/2022,20/04/2022,Compliant,3.39,SEBI,0.0,No
COMP200131,CL117467,AML,29/04/2023,03/05/2023,Compliant,3.41,FIU,0.0,No
COMP200132,CL110512,KYC,08/09/2021,08/09/2021,Compliant,1.29,RBI,0.0,No
COMP200133,CL103742,AML,07/03/2025,02/04/2025,Non_compliant,7.16,RBI,8913.58,Yes
COMP200134,CL111240,tax_reporting,01/12/2023,26/11/2023,Compliant,2.58,SEBI,0.0,No
COMP200135,CL108865,AML,12/06/2021,14/06/2021,Compliant,3.18,RBI,0.0,No
COMP200136,CL102537,disclosure,23/12/2021,27/12/2021,Compliant,3.59,SEBI,0.0,No
COMP200137,CL104912,KYC,08/07/2024,06/07/2024,Compliant,3.81,Income_Tax,0.0,No
COMP200138,CL113567,AML,21/07/2024,26/07/2024,Compliant,1.85,SEBI,0.0,No
COMP200139,CL107323,KYC,05/01/2024,05/01/2024,Compliant,3.49,Income_Tax,0.0,No
COMP200140,CL103891,KYC,30/07/2023,26/07/2023,Compliant,3.35,FIU,0.0,No
COMP200141,CL102839,tax_reporting,01/03/2025,24/02/2025,Compliant,1.43,Income_Tax,0.0,No
COMP200142,CL110451,tax_reporting,10/03/2022,14/03/2022,Compliant,2.77,Income_Tax,0.0,No
COMP200143,CL101945,KYC,17/07/2021,15/07/2021,Compliant,2.62,FIU,0.0,No
COMP200144,CL116807,disclosure,27/04/2025,30/04/2025,Compliant,1.73,FIU,0.0,No
COMP200145,CL108152,tax_reporting,30/12/2021,20/01/2022,Non_compliant,7.17,RBI,34129.02,Yes
COMP200146,CL106206,AML,04/12/2024,08/12/2024,Compliant,2.06,SEBI,0.0,No
COMP200147,CL116697,tax_reporting,10/11/2024,11/12/2024,Non_compliant,7.3,FIU,31759.16,Yes
COMP200148,CL119396,tax_reporting,25/02/2021,25/02/2021,Compliant,1.07,RBI,0.0,No
COMP200149,CL112212,AML,12/09/2024,14/09/2024,Compliant,2.07,RBI,0.0,No
COMP200150,CL102475,KYC,11/06/2025,,Pending,4.75,Income_Tax,0.0,Yes
COMP200151,CL114747,tax_reporting,25/07/2021,27/07/2021,Compliant,3.25,SEBI,0.0,No
COMP200152,CL108863,tax_reporting,13/06/2023,14/06/2023,Compliant,2.2,FIU,0.0,No
COMP200153,CL102473,tax_reporting,04/03/2025,03/03/2025,Compliant,2.06,Income_Tax,0.0,No
COMP200154,CL105278,AML,10/04/2025,09/04/2025,Compliant,2.64,RBI,0.0,No
COMP200155,CL101188,AML,21/12/2021,16/12/2021,Compliant,2.84,Income_Tax,0.0,No
COMP200156,CL109318,tax_reporting,01/02/2023,30/01/2023,Compliant,3.03,Income_Tax,0.0,No
COMP200157,CL114880,disclosure,31/12/2023,27/12/2023,Compliant,3.84,SEBI,0.0,No
COMP200158,CL104264,disclosure,26/10/2023,21/10/2023,Compliant,3.07,Income_Tax,0.0,No
COMP200159,CL113163,disclosure,03/06/2022,06/06/2022,Compliant,1.18,SEBI,0.0,No
COMP200160,CL114691,disclosure,08/12/2024,,Pending,6.5,RBI,0.0,Yes
COMP200161,CL107811,tax_reporting,12/03/2021,17/03/2021,Compliant,3.32,FIU,0.0,No
COMP200162,CL116157,tax_reporting,02/11/2021,05/11/2021,Compliant,1.76,Income_Tax,0.0,No
COMP200163,CL103818,AML,28/11/2024,26/11/2024,Compliant,3.83,FIU,0.0,No
COMP200164,CL101071,AML,01/12/2024,03/12/2024,Compliant,1.52,RBI,0.0,No
COMP200165,CL102777,tax_reporting,10/05/2023,,Pending,5.98,RBI,0.0,Yes
COMP200166,CL103082,tax_reporting,15/03/2021,12/03/2021,Compliant,3.58,RBI,0.0,No
COMP200167,CL105394,KYC,12/08/2022,15/08/2022,Compliant,2.29,RBI,0.0,No
COMP200168,CL105883,KYC,11/06/2023,11/06/2023,Compliant,3.89,FIU,0.0,No
COMP200169,CL106077,KYC,08/05/2021,07/05/2021,Compliant,3.65,Income_Tax,0.0,No
COMP200170,CL106401,disclosure,29/03/2023,26/03/2023,Compliant,3.18,RBI,0.0,No
COMP200171,CL107972,AML,08/02/2025,10/02/2025,Compliant,1.48,FIU,0.0,No
COMP200172,CL100861,tax_reporting,07/04/2024,02/04/2024,Compliant,3.58,RBI,0.0,No
COMP200173,CL114115,AML,01/08/2021,11/09/2021,Non_compliant,9.47,FIU,929.91,Yes
COMP200174,CL106183,disclosure,05/12/2021,03/12/2021,Compliant,2.19,SEBI,0.0,No
COMP200175,CL113154,AML,07/06/2025,02/06/2025,Compliant,1.24,RBI,0.0,No
COMP200176,CL107049,tax_reporting,22/01/2025,21/01/2025,Compliant,3.47,Income_Tax,0.0,No
COMP200177,CL103042,tax_reporting,30/01/2024,,Pending,6.39,RBI,0.0,Yes
COMP200178,CL118371,disclosure,27/08/2023,29/08/2023,Compliant,3.46,FIU,0.0,No
COMP200179,CL105869,AML,04/07/2024,03/07/2024,Compliant,2.47,FIU,0.0,No
COMP200180,CL109549,KYC,29/09/2022,,Pending,6.32,FIU,0.0,Yes
COMP200181,CL102247,disclosure,12/10/2021,13/10/2021,Compliant,1.02,Income_Tax,0.0,No
COMP200182,CL117787,AML,16/11/2021,19/11/2021,Compliant,2.33,Income_Tax,0.0,No
COMP200183,CL105976,tax_reporting,11/05/2025,11/05/2025,Compliant,1.26,Income_Tax,0.0,No
COMP200184,CL104084,disclosure,06/08/2023,07/08/2023,Compliant,3.09,Income_Tax,0.0,No
COMP200185,CL108179,AML,12/06/2024,07/06/2024,Compliant,1.57,SEBI,0.0,No
COMP200186,CL111044,disclosure,31/10/2023,,Pending,6.64,FIU,0.0,Yes
COMP200187,CL106488,tax_reporting,24/01/2024,22/01/2024,Compliant,3.48,SEBI,0.0,No
COMP200188,CL105721,tax_reporting,05/12/2021,07/12/2021,Compliant,3.88,FIU,0.0,No
COMP200189,CL108549,tax_reporting,17/10/2021,12/10/2021,Compliant,1.52,FIU,0.0,No
COMP200190,CL108534,disclosure,16/08/2024,19/08/2024,Compliant,3.35,RBI,0.0,No
COMP200191,CL110015,AML,26/01/2024,30/01/2024,Compliant,2.62,Income_Tax,0.0,No
COMP200192,CL106606,tax_reporting,06/06/2021,03/06/2021,Compliant,3.92,RBI,0.0,No
COMP200193,CL109116,disclosure,23/12/2023,22/12/2023,Compliant,2.8,SEBI,0.0,No
COMP200194,CL104948,disclosure,25/06/2021,22/06/2021,Compliant,1.37,RBI,0.0,No
COMP200195,CL102825,tax_reporting,02/05/2024,,Pending,6.01,RBI,0.0,Yes
COMP200196,CL115241,tax_reporting,13/04/2023,,Pending,5.21,SEBI,0.0,Yes
COMP200197,CL118183,AML,02/03/2023,04/03/2023,Compliant,2.65,RBI,0.0,No
COMP200198,CL112558,tax_reporting,17/10/2022,17/10/2022,Compliant,2.47,FIU,0.0,No
COMP200199,CL111808,disclosure,20/06/2023,20/06/2023,Compliant,2.7,SEBI,0.0,No
COMP200200,CL108521,AML,12/10/2022,,Pending,5.48,RBI,0.0,Yes
COMP200201,CL108059,disclosure,15/12/2024,12/12/2024,Compliant,3.81,RBI,0.0,No
COMP200202,CL100776,tax_reporting,20/07/2023,18/07/2023,Compliant,2.09,RBI,0.0,No
COMP200203,CL108017,disclosure,15/10/2024,16/10/2024,Compliant,3.98,FIU,0.0,No
COMP200204,CL106109,disclosure,30/09/2024,01/10/2024,Compliant,2.43,RBI,0.0,No
COMP200205,CL115274,AML,14/09/2023,,Pending,5.42,Income_Tax,0.0,Yes
COMP200206,CL100595,disclosure,20/06/2021,21/06/2021,Compliant,2.1,SEBI,0.0,No
COMP200207,CL106144,KYC,28/04/2022,23/04/2022,Compliant,2.54,RBI,0.0,No
COMP200208,CL118039,tax_reporting,30/01/2025,03/02/2025,Compliant,1.42,Income_Tax,0.0,No
COMP200209,CL117008,disclosure,02/01/2021,31/12/2020,Compliant,1.75,RBI,0.0,No
COMP200210,CL107160,disclosure,27/03/2021,28/03/2021,Compliant,2.35,Income_Tax,0.0,No
COMP200211,CL117819,disclosure,06/08/2024,01/08/2024,Compliant,3.76,RBI,0.0,No
COMP200212,CL117175,tax_reporting,22/11/2024,22/11/2024,Compliant,3.07,SEBI,0.0,No
COMP200213,CL116708,disclosure,05/06/2025,,Pending,4.84,FIU,0.0,Yes
COMP200214,CL101730,AML,22/09/2024,21/09/2024,Compliant,3.74,SEBI,0.0,No
COMP200215,CL105775,tax_reporting,12/03/2023,16/03/2023,Compliant,1.57,FIU,0.0,No
COMP200216,CL118144,AML,03/07/2023,30/06/2023,Compliant,3.93,RBI,0.0,No
COMP200217,CL111778,KYC,15/11/2021,12/11/2021,Compliant,2.56,RBI,0.0,No
COMP200218,CL112783,tax_reporting,31/07/2023,03/08/2023,Compliant,3.2,SEBI,0.0,No
COMP200219,CL105045,AML,20/01/2022,23/01/2022,Compliant,2.36,FIU,0.0,No
COMP200220,CL108607,KYC,12/06/2022,07/06/2022,Compliant,1.65,FIU,0.0,No
COMP200221,CL118124,tax_reporting,07/08/2024,11/08/2024,Compliant,3.16,FIU,0.0,No
COMP200222,CL115302,AML,12/11/2023,10/11/2023,Compliant,1.06,FIU,0.0,No
COMP200223,CL100645,KYC,26/03/2025,24/03/2025,Compliant,3.93,SEBI,0.0,No
COMP200224,CL117328,AML,16/08/2024,13/08/2024,Compliant,1.09,FIU,0.0,No
COMP200225,CL118019,AML,30/12/2022,,Pending,4.33,Income_Tax,0.0,Yes
COMP200226,CL115710,disclosure,13/04/2025,11/04/2025,Compliant,3.55,SEBI,0.0,No
COMP200227,CL116796,tax_reporting,14/05/2025,16/05/2025,Compliant,3.91,RBI,0.0,No
COMP200228,CL104447,AML,29/03/2023,29/04/2023,Non_compliant,6.83,RBI,39536.84,Yes
COMP200229,CL100061,AML,31/08/2023,03/09/2023,Compliant,2.15,Income_Tax,0.0,No
COMP200230,CL114237,disclosure,13/03/2021,24/03/2021,Non_compliant,6.49,Income_Tax,35116.99,Yes
COMP200231,CL105465,disclosure,24/03/2024,,Pending,6.97,Income_Tax,0.0,Yes
COMP200232,CL101057,KYC,05/12/2024,01/12/2024,Compliant,2.34,SEBI,0.0,No
COMP200233,CL106800,disclosure,12/07/2022,07/07/2022,Compliant,1.47,RBI,0.0,No
COMP200234,CL117486,KYC,17/03/2024,19/03/2024,Compliant,1.11,SEBI,0.0,No
COMP200235,CL109117,KYC,13/05/2021,08/05/2021,Compliant,2.87,SEBI,0.0,No
COMP200236,CL109124,disclosure,19/07/2022,18/07/2022,Compliant,1.8,Income_Tax,0.0,No
COMP200237,CL112080,disclosure,18/07/2022,,Pending,5.93,SEBI,0.0,Yes
COMP200238,CL101073,disclosure,31/08/2021,29/08/2021,Compliant,1.41,SEBI,0.0,No
COMP200239,CL112147,AML,15/02/2025,12/02/2025,Compliant,3.75,RBI,0.0,No
COMP200240,CL106748,disclosure,30/06/2024,04/07/2024,Compliant,3.88,SEBI,0.0,No
COMP200241,CL117707,KYC,07/07/2021,04/07/2021,Compliant,1.3,Income_Tax,0.0,No
COMP200242,CL116587,tax_reporting,29/11/2022,26/11/2022,Compliant,3.56,RBI,0.0,No
COMP200243,CL110902,tax_reporting,05/12/2024,,Pending,4.24,RBI,0.0,Yes
COMP200244,CL114032,disclosure,01/07/2022,05/07/2022,Compliant,1.85,FIU,0.0,No
COMP200245,CL112291,KYC,21/05/2024,18/05/2024,Compliant,3.43,SEBI,0.0,No
COMP200246,CL102130,KYC,14/01/2021,10/01/2021,Compliant,3.91,RBI,0.0,No
COMP200247,CL107142,KYC,09/03/2022,05/03/2022,Compliant,3.61,RBI,0.0,No
COMP200248,CL102099,disclosure,15/08/2021,15/08/2021,Compliant,1.98,SEBI,0.0,No
COMP200249,CL104289,AML,23/04/2024,18/04/2024,Compliant,1.93,FIU,0.0,No
COMP200250,CL112708,AML,03/01/2021,29/12/2020,Compliant,2.09,Income_Tax,0.0,No
COMP200251,CL102379,AML,09/04/2024,13/04/2024,Compliant,1.43,Income_Tax,0.0,No
COMP200252,CL102074,tax_reporting,01/04/2025,30/03/2025,Compliant,1.62,RBI,0.0,No
COMP200253,CL101449,tax_reporting,15/11/2024,10/11/2024,Compliant,3.86,SEBI,0.0,No
COMP200254,CL117152,tax_reporting,05/03/2024,05/03/2024,Compliant,1.66,FIU,0.0,No
COMP200255,CL101543,tax_reporting,16/01/2022,13/01/2022,Compliant,3.06,FIU,0.0,No
COMP200256,CL117048,AML,08/05/2025,11/05/2025,Compliant,1.0,RBI,0.0,No
COMP200257,CL115258,AML,29/05/2024,24/05/2024,Compliant,2.41,FIU,0.0,No
COMP200258,CL101711,tax_reporting,14/11/2021,18/11/2021,Compliant,1.91,Income_Tax,0.0,No
COMP200259,CL111203,AML,25/09/2021,21/09/2021,Compliant,2.53,FIU,0.0,No
COMP200260,CL104980,disclosure,29/07/2024,27/07/2024,Compliant,1.31,Income_Tax,0.0,No
COMP200261,CL108446,tax_reporting,03/07/2024,30/06/2024,Compliant,1.84,Income_Tax,0.0,No
COMP200262,CL118816,disclosure,20/11/2021,20/11/2021,Compliant,3.13,Income_Tax,0.0,No
COMP200263,CL101457,AML,28/06/2022,26/06/2022,Compliant,3.47,SEBI,0.0,No
COMP200264,CL115798,disclosure,29/03/2025,24/03/2025,Compliant,2.77,RBI,0.0,No
COMP200265,CL119222,tax_reporting,18/01/2025,,Pending,4.76,FIU,0.0,Yes
COMP200266,CL118687,KYC,26/09/2024,26/09/2024,Compliant,2.38,FIU,0.0,No
COMP200267,CL111962,AML,19/10/2021,15/10/2021,Compliant,3.27,SEBI,0.0,No
COMP200268,CL115810,disclosure,13/05/2024,10/05/2024,Compliant,2.6,FIU,0.0,No
COMP200269,CL109667,KYC,18/06/2025,23/06/2025,Compliant,1.13,Income_Tax,0.0,No
COMP200270,CL108680,AML,20/04/2025,,Pending,6.66,RBI,0.0,Yes
COMP200271,CL101510,AML,15/10/2023,14/10/2023,Compliant,2.88,SEBI,0.0,No
COMP200272,CL113745,disclosure,05/09/2024,18/09/2024,Non_compliant,8.32,RBI,9417.45,Yes
COMP200273,CL108927,AML,03/09/2022,31/08/2022,Compliant,2.2,SEBI,0.0,No
COMP200274,CL113639,KYC,10/09/2023,07/09/2023,Compliant,3.65,SEBI,0.0,No
COMP200275,CL105947,KYC,18/05/2024,13/05/2024,Compliant,3.34,Income_Tax,0.0,No
COMP200276,CL116396,tax_reporting,20/08/2021,15/08/2021,Compliant,1.75,RBI,0.0,No
COMP200277,CL116880,tax_reporting,16/02/2022,20/02/2022,Compliant,3.77,FIU,0.0,No
COMP200278,CL119128,tax_reporting,23/02/2025,21/02/2025,Compliant,3.46,FIU,0.0,No
COMP200279,CL111038,disclosure,01/11/2023,30/10/2023,Compliant,3.99,FIU,0.0,No
